1		V for n; V to-inf		1
2	the 'hope' group	V to-inf	These verbs are concerned with attitudes towards a future action or event. This includes: wanting to do something e.g. hope, long, want not wanting to do something e.g. dread, fear expecting to do something e.g. expect, reckon	1
3	The 'ask' group	V for n	These verbs are concerned with trying to get something.	1
4	The 'yearn' group	V for n	These verbs are concerned with wanting something.	1
5	The 'drape' group	V n in n	These verbs are concerned with decorating, covering, or enclosing something in something, either physically or metaphorically.	2
6	The 'filter' group	V through n	These verbs are concerned with moving or travelling through a place, thing, or group of things. We include here permeate and run , which indicate that something exists throughout a place, thing, or group.	3
7	the 'move' group	V	These verbs are concerned with moving or being somewhere. This includes: moving in a particular direction e.g. advance, back up moving in a particular way e.g. run being in a particular position e.g. lie around arriving somewhere e.g. arrive, land, show up staying somewhere e.g. remain, stay, stick around ceasing to move e.g. stop part of something breaking off e.g. break off, fall off	4
8		V from n	Verbs with this structure are all concerned with leaving or coming from a place, group, thing, person, or position. The Subject can be animate or inanimate. We include here verbs such as emanate and radiate which indicate that a quality is strongly shown by someone.	4
9	The 'change' group	V n into n	These verbs are concerned with changing something into something new, or changing its form or shape. We include here verbs such as amalgamate and weld, which are concerned with putting parts together to make a whole. The prepositional phrase indicates the new thing, form, or shape.	5
10	the 'say' group	V n	The Object indicates what is said or written. The verb and the Object together indicate the process of speaking or writing. This includes: verbs which themselves indicate communication e.g. ask, say, speak verbs which indicate communication only when used with particular noun groups e.g. draw, make, pass	6
11		V from n	Verbs with this structure are all concerned with leaving or coming from a place, group, thing, person, or position. The Subject can be animate or inanimate. We include here verbs such as emanate and radiate which indicate that a quality is strongly shown by someone.	6
12	The 'provide' group	V n with n	These verbs are concerned with giving something to someone or something. The prepositional phrase indicates the thing that is given. This includes: - supplying someone with something that they want or need e.g. arm, provide - giving someone too much of something, or something they do not want e.g. deluge, land - giving someone something that is not what is needed e.g. fob off, palm off - giving a particular kind of thing, or giving in a particular way e.g. dose, inject - showing approval of someone by giving them something or doing them a service e.g. honour, oblige	6
13	The 'comment' group	V on/upon n	These verbs are concerned with speaking or writing. The prepositional phrase indicates the topic involved. We include here verbs such as legislate, rule, and vote, which are concerned with expressing your decision or judgement about something.	7
14		V about n	These verbs are concerned with communication by telephone or letter. The prepositional phrase indicates the topic which is the reason for the communication.	8
15	The 'put' group	V n into n	These verbs are concerned with putting something or someone into something, either physically or metaphorically. This includes investing money in something. The prepositional phrase indicates the place where they are put.	9
16	The 'put' group	V n prep/adv, V n adv/prep	These verbs are concerned with putting something somewhere. This includes: - placing something so that it is positioned in a particular way e.g. balance, loop - putting something somewhere carelessly or with force e.g. bang, bung - putting something somewhere using an implement e.g. ladle - putting something somewhere in a particular way e.g. dab, drape. Frequent usage: dig (in), drizzle (over), fold (in),lay (down),pay (in), plug (in), plunge (in), pour (in), ram (in),slam (down),slather (on),stir (in), tuck (in),work (in)	9
17	The 'place' group	V n on/upon n	These verbs are concerned with putting or fastening something somewhere, either physically or metaphorically. This includes: - concrete actions e.g. perch, sprinkle - abstract actions e.g. cast (doubt), throw (light) - putting a value or a tax on something	9
18	The 'fill' group	V n with n	These verbs are concerned with filling something, physically or metaphorically. The prepositional phrase indicates the things that are put into the container or other thing that is filled. In the case of fill and stuff , the noun group following the verb is always a reflexive pronoun. This pattern is V pron refl with n. The phrasal verb fill up has the pattern V pron-refl P with n.	9
19	the 'tend' group	V to-inf	These verbs are concerned with how probable something is or how frequently something happens.	10
20	The 'turn' group	V into n	These verbs are concerned with becoming. The prepositional phrase indicates what something becomes. We include here segue and shade, which indicate either that something becomes something else or that it is next to or followed by something else. The verbs convert, shade, transmute, and turn are link verbs	10
21	The 'work' group	V as n	These verbs are concerned with doing, getting, leaving, or training for a job. The noun group after as contains a job title such as doctor or president.	10
22	The 'rank' group	V as n	These verbs indicate that someone or something is perceived as a particular thing. All these verbs except count, emerge, and qualify are link verbs	10
23	The 'shape up' group	V prep/adv, V adv/prep	These verbs are used when talking about how something behaves when it is used, or how successful something or someone is. Most of them are used with adverbs such as well and nicely. The phrasal verb come off is used with worst and best.	10
24	Verbs with other meanings	V n to n	There are many other verbs which have this structure. In the case of draw up, help, lower, and treat, the noun group following the verb is always or often a reflexive pronoun. This pattern is V pron-refl to n, or in the case of draw up, V pron-refl P to n. In the case of leave 7, the noun group following the preposition is always a reflexive pronoun. This pattern is V n to pron-refl. In the case of leave 16 and mean 1.3, the noun group following the verb is always an amount. This pattern is V amount to n. 433 Our mothers\\' approval means a lot to us.	11
25	the 'kill' group	V n	These verbs are concerned with harming, breaking, attacking, or destroying something or someone.	12
26	the 'move' group	V	These verbs are concerned with moving or being somewhere. This includes: moving in a particular direction e.g. advance, back up moving in a particular way e.g. run being in a particular position e.g. lie around arriving somewhere e.g. arrive, land, show up staying somewhere e.g. remain, stay, stick around ceasing to move e.g. stop part of something breaking off e.g. break off, fall off	13
27	the 'slide open' group	V adj	These verbs indicate that something such as a door moves, or makes a sound as it moves.	14
28	The 'chug' group	V way prep/adv	These verbs, when used with way, are concerned with moving in a way that makes a particular noise.	14
29	verbs with other meanings	V that ('That' is omitted sometimes.)		15
30	the 'move' group	V	These verbs are concerned with moving or being somewhere. This includes: moving in a particular direction e.g. advance, back up moving in a particular way e.g. run being in a particular position e.g. lie around arriving somewhere e.g. arrive, land, show up staying somewhere e.g. remain, stay, stick around ceasing to move e.g. stop part of something breaking off e.g. break off, fall off	15
31	the 'leave' group	V	These verbs are concerned with leaving a place, position, or situation.	15
32	the 'benefit' group	V	These verbs indicate that something happens to the Subject or is done to the Subject.	15
33	the 'discover' group	V wh	These verbs are concerned with coming to know something or bringing something to mind. This includes: working something out e.g. analyse, calculate finding something out e.g. discover, investigate realizing something e.g. realize, twig remembering something you had forgotten finding something out through the senses e.g. catch, feel	16
34	The 'think' group	V that ('That' is omitted sometimes.)	These verbs are concerned with thinking. This includes: having a belief knowing or understanding something hoping and fearing	17
35	The 'believe' group	V in n	These verbs are concerned with belief or agreement.	17
36	The 'expect' group	V n to-inf	These verbs are concerned with intentions, predictions, and expectations. Frequent usage: bill, mean, project, schedule, second, timetable & tip(usu passive).expect(not)	17
37	Verbs with other meanings	V n with n	There are a number of other verbs which have this structure. In the case of threaten and trust, the preposition with is sometimes followed by an `-ing\\' clause. In the case of concern, the noun group following the verb is always a reflexive pronoun. This pattern is V pron-refl with n. In the case of do, the noun group following the verb is always an amount. This pattern is V amount with n.	17
38		V on n; V over n		18
39	The 'lapse' group	V into n	These verbs indicate that someone or something starts being in a different state, usually a bad one, or starts doing something.	18
40	The 'impinge' group	V on/upon n	These verbs are concerned with affecting or beginning to affect someone or something, often negatively. The Subject often refers to a worrying thought or situation. We include here grate and jar, where the effect is very negative.	18
41	The 'converge' group	V on/upon n	These verbs are concerned with going towards or onto something or someone, literally or metaphorically.	18
42		V over n	Verbs with this structure are all concerned with movement, position, or extent, either physical or metaphorical. The prepositional phrase indicates the place, thing, or field of activity involved. With most of these verbs, the Subject is inanimate.	18
43	The 'progress' and 'switch' group	V to n	These verbs are concerned with starting to be in a different situation. This includes: - doing something different - starting to have, use, or deal with something different e.g. switch - going back to a previous situation e.g. return, revert	18
44	The 'recede' group	V prep	These verbs are concerned with moving, arriving, or being somewhere.	18
45		V -ing; V with n		19
46	the 'laugh' group	V	These verbs indicate that someone makes a sound or puts on an expression, or that someone\\'s body does something involuntarily.	19
47	The 'start' and 'stop' group	V -ing	These verbs are concerned with starting, stopping, continuing, or doing an action.	19
48	The 'tremble' group	V with n	These verbs indicate that someone does something or has a particular appearance or physical sensation because of what they feel. Frequent usage: blaze, brighten, cloud, gleam, glisten, glitter, shake, shine & sparkle(your eyes). light up(your eyes/face)	19
49		V n to n; V to n		20
50	verbs with other meanings	V	Verbs where something else involved in the action must have been mentioned or indicated already.	20
51	the 'lend' group	V to n	These verbs are concerned with giving, lending, or selling something to someone. The thing given or sold is not explicitly mentioned.	20
52	verbs with other meanings	V to n		20
53	The 'help' group	V towards/toward n	These verbs indicate that something is partly responsible for something happening or being achieved.	20
54	The 'give' group	V n to n	These verbs are concerned with giving or transferring something to someone. This includes: - giving e.g. award, feed, grant - bequeathing e.g. leave, will - lending e.g. lend, loan - transferring something e.g. hand, pass - transferring responsibility for something e.g. delegate, subcontract - allocating or committing money or resources e.g. allot, assign - conceding e.g. cede, yield - introducing ideas or systems e.g. export, introduce - marrying someone to someone - dedicating something such as a book or a building to someone	20
55	The 'contribute' group	V n towards/toward n	These verbs are concerned with providing part of a sum of money. The prepositional phrase indicates what the money has been or will be spent on.	20
56	The 'select' group	V n for n	These verbs are concerned with considering or choosing someone or something for a particular role or purpose, or with deciding not to choose them.	21
57	The 'tell' group	V n about n	These verbs are concerned with verbal communication with someone about something. This includes: - advising - telling - teaching - warning - asking - nagging - scolding - teasing	21
58	verbs with other meanings	ergative: V & V n	There are a number of other verbs that have this combination of patterns.	21
59	the 'assemble' and 'disband' group	ergative: V & V n	These verbs are concerned with a group of people moving or doing something together. This includes: forming a group e.g. assemble, organize splitting a group up e.g. demobilize, disband going somewhere as a group e.g. pull out, relocate behaving in a particular way as a group e.g. bunch up, rotate In the pattern V, the Subject indicates the group of people. In the pattern V n, the Subject indicates someone who organizes the group or something that motivates the group to do something.	22
60	the 'gallop' group	Ergative: V prep/adv & V n prep/adv	These verbs are concerned with a person, group of people, or animal going somewhere or doing something, under their own control. In the pattern V prep/adv, the Subject indicates the person, group, or animal who moves or does something. In the pattern V n prep/adv, the Subject indicates the person or group of people who: makes the person, group, or animal move or do something encourages the person, group, or animal to move or do something provides conditions that allow the person, group, or animal to move or do something.	22
61	The 'bay' group	V at n	These verbs indicate that an animal makes a noise. The prepositional phrase indicates who or what the noise is directed at.	23
62	The 'ask' group	V for n	These verbs are concerned with trying to get something.	23
63	the 'assemble' and 'disband' group	ergative: V & V n	These verbs are concerned with a group of people moving or doing something together. This includes: forming a group e.g. assemble, organize splitting a group up e.g. demobilize, disband going somewhere as a group e.g. pull out, relocate behaving in a particular way as a group e.g. bunch up, rotate In the pattern V, the Subject indicates the group of people. In the pattern V n, the Subject indicates someone who organizes the group or something that motivates the group to do something.	24
64	The 'see' group	V n -ing	These verbs are concerned with perceiving, finding, or showing someone doing something. Frequent usage: photograph & picture (usu passive)	25
65	The 'do' and 'take' group	V n	These verbs and Objects are not separable and it is not possible to replace the Objects by pronouns. For example, it does not make sense to say `they wanted a verdict so we 42 returned it\\', or `he offered me a sip and I took it\\'. This means that the clause does not focus attention on what is done to the Object but on what the Subject does, or on something that happens to the Subject. The verb and the Object together describe an action by the Subject. Many of these verbs, especially do, get, give, have, and take, have little meaning in themselves but take their meaning from the Object.	26
66	The 'equal' group	V amount	These verbs are used when indicating how big an amount is. They are all link verbs	26
67	the 'adapt' group	V to n	These verbs are concerned with adapting to a new situation.	27
68		combination: V; V n		28
69		V for n; V n for n		28
70		V for n; V to-inf		28
71		V and v		28
72	the 'move' group	V	These verbs are concerned with moving or being somewhere. This includes: moving in a particular direction e.g. advance, back up moving in a particular way e.g. run being in a particular position e.g. lie around arriving somewhere e.g. arrive, land, show up staying somewhere e.g. remain, stay, stick around ceasing to move e.g. stop part of something breaking off e.g. break off, fall off	28
73	the 'hang around' group	V	These verbs are concerned with waiting, not doing much, or not acting.	28
74	the 'benefit' group	V	These verbs indicate that something happens to the Subject or is done to the Subject.	28
75	the 'take three days' group	V n	The verb and the Object together indicate a point in time, the duration of something, or a sequence of events.	28
76	the 'hope' group	V to-inf	These verbs are concerned with attitudes towards a future action or event. This includes: wanting to do something e.g. hope, long, want not wanting to do something e.g. dread, fear expecting to do something e.g. expect, reckon	28
77	the 'wait' group	V to-inf	These verbs are concerned with waiting to do something.	28
78	Verbs with other meanings	V on/upon n	There are a number of other verbs with this structure.	28
79		V at n	With three verbs, the prepositional phrase is an Adjunct. Only one noun, or a very restricted range of nouns, can occur in the prepositional phrase.	28
80	The 'wait' group	V for n	These verbs are concerned with waiting for someone or something.	28
81	The 'wait' group	V for n to-inf	These verbs are concerned with waiting for something to happen.	28
82	Verbs with other meanings	V n for n	There are a number of other verbs which have this structure.	28
83		V prep it	Verbs with this pattern have a variety of meanings: go (for it) keep (at it) be rolling (in it) run (for it) snap (out of it) step (on it) wait (for it) get_away (from it all). The verb wait is used only in the imperative.	28
84	the 'begin' and 'stop' group	V	These verbs are concerned with beginning or stopping.	29
85	the 'dissolve' and 'solidify' group	ergative: V & V n	In the pattern V, these verbs are concerned with something changing in some physical way. In the pattern V n, they are concerned with someone or something causing a physical change in something. The Subject in the pattern V n may be a person who makes a process happen, or provides conditions for a process to happen, as in The scientist condensed the vapor, or something that takes part in the process, as in The cold atmosphere condensed the vapor. In the case of some verbs, such as ripen, ripple, and rot, the second kind of Subject is more frequent.	30
86	the 'improve' and 'worsen' group	ergative: V & V n	In the pattern V, these verbs are concerned with something changing in some abstract way. In the pattern V n, they are concerned with someone or something causing an abstract change in something.	30
87	The 'invite' group	V n prep/adv, V n adv/prep	These verbs are concerned with causing someone or something go somewhere. The adverbs used with the verbs in this group are adverbs of direction of place such as along, back, out, and there. The verb call is used with a prepositional phrase, not with an adverb. The verb check is used with the adverbs in and out and the prepositions into and out of. The verb show VP is used with the adverb around and the preposition around.Frequent usage:ask(out), book(in), drive(away/off), flush(out), kick(off), let(in), let(out), show(around), throw(off), warn(off). allow, assign, call, exile, post, route, second, shunt & summon(usu passive)	31
88	Verbs with other meanings	V prep	There are a number of other phrasal verbs which have this pattern.	32
